Department for Transport statistics,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,
Table TAXI0104 [2013 data],,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2013 1",,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,Number
,,,,,Licensed taxis and taxi drivers,,,,,Private hire vehicles (PHVs),,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis 4,"Other 
taxis 4","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs 5,"Vehicle licences 
issued","Operator 
licences 
issued",PHV only Licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
E10000003,,Cambridgeshire,,,219,339,558,170,,8,"1,309",252,907,,"1,379","2,456","1,867"
E07000008,,,Cambridge,,187,79,266,45,,0,179,23,29,,615,689,445
E07000009,,,East Cambridgeshire,,2,93,95,0,,..,30,20,0,,166,166,125
E07000010,,,Fenland,,2,112,114,119,,..,40,14,42,,0,161,154
E07000011,,,Huntingdonshire,,26,47,73,0,,0,360,61,0,,592,592,433
E07000012,,,South Cambridgeshire,,2,8,10,6,,8,700,134,836,,6,848,710
E10000029,,Suffolk,,,111,505,616,203,,..,"1,089",235,693,,"1,172","2,068","1,705"
E07000200,,,Babergh,,11,20,31,0,,8,116,41,0,,206,206,147
E07000201,,,Forest Heath,,12,115,127,0,,1,38,21,16,,183,199,165
E07000202,,,Ipswich,,60,104,164,203,,3,323,18,382,,0,585,487
E07000203,,,Mid Suffolk,,5,73,78,0,,6,43,21,0,,122,122,121
E07000204,,,St Edmundsbury,,19,34,53,0,,..,273,54,0,,400,400,326
E07000205,,,Suffolk Coastal,,0,38,38,0,,11,179,48,178,,66,244,217
E07000206,,,Waveney,,4,121,125,0,,7,117,32,117,,195,312,242
E06000032,,Luton,,,167,0,167,267,,0,822,37,"1,116",,171,"1,554",989
E06000055,,Bedford,,,70,0,70,62,,41,604,51,737,,88,887,674
E06000056,,Central Bedfordshire,,,222,26,248,0,,202,236,98,0,,670,670,484
E10000015,,Hertfordshire,,,361,"1,570","1,931","1,053",,..,"1,986",343,"1,950",,"1,561","4,564","3,917"
E07000095,,,Broxbourne,,15,218,233,218,,0,87,40,87,,69,374,320
E07000096,,,Dacorum,,56,190,246,299,,..,182,49,237,,0,536,428
E07000097,,,East Hertfordshire,,3,253,256,0,,3,45,24,50,,310,360,301
E07000098,,,Hertsmere,,9,0,9,0,,4,439,53,450,,16,466,448
E07000099,,,North Hertfordshire,,25,233,258,153,,0,69,29,100,,8,261,327
E07000100,,,St Albans,,148,127,275,331,,0,154,14,203,,0,534,429
E07000101,,,Stevenage,,28,72,100,0,,6,171,26,0,,307,307,271
E07000102,,,Three Rivers,,19,0,19,52,,20,508,76,538,,0,590,527
E07000103,,,Watford,,54,250,304,0,,1,161,10,29,,484,513,465
E07000104,,,Welwyn Hatfield,,4,227,231,0,,0,170,22,256,,367,623,401
E06000033,,Southend-on-Sea,,,79,197,276,492,,6,176,37,203,,0,695,452
E06000034,,Thurrock,,,27,63,90,0,,6,220,45,223,,204,427,310
E10000012,,Essex,,,375,"1,648","2,023",668,,..,"2,427",465,784,,"3,811","5,263","4,450"
E07000066,,,Basildon,,126,80,206,0,,2,283,46,0,,729,729,489
E07000067,,,Braintree,,9,75,84,231,,19,251,43,65,,83,379,335
E07000068,,,Brentwood,,6,245,251,1,,0,30,15,0,,342,343,281
E07000069,,,Castle Point,,8,131,139,0,,16,81,48,73,,163,236,220
E07000070,,,Chelmsford,,102,73,175,0,,..,116,42,0,,435,435,291
E07000071,,,Colchester,,18,113,131,0,,14,590,90,0,,699,699,721
E07000072,,,Epping Forest,,0,380,380,360,,0,24,20,24,,0,384,404
E07000073,,,Harlow,,63,0,63,74,,0,202,3,218,,0,292,265
E07000074,,,Maldon,,8,72,80,2,,0,13,18,0,,126,128,93
E07000075,,,Rochford,,30,182,212,0,,0,45,28,36,,263,299,257
E07000076,,,Tendring,,5,244,249,0,,1,24,28,24,,317,341,273
E07000077,,,Uttlesford,,0,53,53,0,,84,768,84,344,,654,998,821
E12000007,London 2,,,,"22,168",0,"22,168","25,571",,..,"49,854","3,159","66,975",,0,"92,546","72,022"
E12000008,South East,,,,"2,696","7,068","9,764","6,978",,796,"17,024","3,019","15,583",,"11,312","33,873","26,788"
E10000025,,Oxfordshire,,,166,741,907,170,,..,"1,155",229,675,,"1,879","2,724","2,062"
E07000177,,,Cherwell,,34,91,125,0,,0,223,64,0,,484,484,348
E07000178,,,Oxford,,107,0,107,0,,0,569,24,620,,328,948,676
E07000179,,,South Oxfordshire,,10,391,401,0,,19,177,61,0,,760,760,578
E07000180,,,Vale of White Horse,,12,140,152,0,,20,99,42,0,,307,307,251
E07000181,,,West Oxfordshire,,3,119,122,170,,10,87,38,55,,0,225,209
E06000042,,Milton Keynes,,,133,81,214,43,,9,733,64,256,,817,"1,116",947
E10000002,,Buckinghamshire,,,105,230,335,202,,56,"1,298",253,"1,272",,815,"2,289","1,633"
E07000004,,,Aylesbury Vale,,61,0,61,0,,34,655,88,588,,438,"1,026",716
E07000005,,,Chiltern,,1,141,142,178,,3,112,35,151,,0,329,254
E07000006,,,South Bucks,,0,40,40,16,,0,69,23,84,,16,116,109
E07000007,,,Wycombe,,43,49,92,8,,19,462,107,449,,361,818,554
E06000037,,West Berkshire,,,54,135,189,70,,0,128,57,150,,204,424,317
E06000036,,Bracknell Forest,,,80,0,80,0,,1,184,43,146,,170,316,264
E06000038,,Reading,,,239,0,239,396,,0,405,44,519,,0,915,644
E06000039,,Slough,,,52,55,107,81,,9,611,67,833,,81,995,718
E06000040,,Windsor and Maidenhead,,,85,64,149,121,,0,858,113,"1,169",,163,"1,453","1,007"
E06000041,,Wokingham,,,99,0,99,0,,0,187,38,144,,189,333,286
E06000044,,Portsmouth,,,84,150,234,307,,21,933,23,"1,025",,0,"1,332","1,167"
E06000045,,Southampton,,,70,213,283,570,,40,572,74,844,,0,"1,414",855
E10000014,,Hampshire,,,386,806,"1,192",728,,..,"2,224",493,"1,217",,"2,055","4,000","3,416"
E07000084,,,Basingstoke and Deane,,66,0,66,99,,4,273,62,280,,99,478,339
E07000085,,,East Hampshire,,4,103,107,0,,108,201,37,0,,361,361,308
E07000086,,,Eastleigh,,8,97,105,103,,59,444,49,460,,0,563,549
