Department for Transport statistics,,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,,
Table TAXI0104,,,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2017 1",,,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,,
,,,,,Licensed taxis and taxi drivers,,,,,Licensed private hire vehicles (PHVs) and drivers,,,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis ,"Other 
taxis ","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs,"Other 
PHVs ","Total 
PHVs","Operator 
licences 
issued",PHV only licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
,,,,,,,,,,,,,,,,,,
E07000222,,,Warwick,,156,59,215,0,,2,180,182,61,0,,483,483,397
,,,,,,,,,,,,,,,,,,
E12000006,East of England,,,,"2,208","5,343","7,551","2,224",,636,"11,745","12,381","1,809","7,505",,"13,675","23,404","19,932"
E10000020,,Norfolk,,,266,606,872,0,,72,"1,086","1,158",210,543,,"1,553","2,096","2,030"
E07000143,,,Breckland,,6,95,101,0,,3,42,45,37,0,,210,210,146
E07000144,,,Broadland,,0,0,0,0,,19,212,231,29,330,,0,330,231
E07000145,,,Great Yarmouth,,46,149,195,0,,37,117,154,19,0,,429,429,349
E07000146,,,King’s Lynn and West Norfolk,,41,52,93,0,,0,160,160,37,0,,268,268,253
E07000147,,,North Norfolk,,8,161,169,0,,2,72,74,53,0,,271,271,243
E07000148,,,Norwich,,158,0,158,0,,0,397,397,6,213,,116,329,555
E07000149,,,South Norfolk,,7,149,156,0,,11,86,97,29,0,,259,259,253
E06000031,,Peterborough,,,143,0,143,0,,35,601,636,56,672,,352,"1,024",779
E10000003,,Cambridgeshire,,,332,428,760,169,,6,"1,710","1,716",282,"1,136",,"1,753","3,058","2,476"
E07000008,,,Cambridge,,214,113,327,16,,2,151,153,23,5,,677,698,480
E07000009,,,East Cambridgeshire,,4,117,121,0,,4,29,33,13,0,,181,181,154
E07000010,,,Fenland,,0,118,118,113,,0,36,36,17,36,,1,150,154
E07000011,,,Huntingdonshire,,114,44,158,0,,0,545,545,75,0,,894,894,703
E07000012,,,South Cambridgeshire,,0,36,36,40,,0,949,949,154,"1,095",,0,"1,135",985
E10000029,,Suffolk,,,147,500,647,115,,117,"1,105","1,222",233,626,,"1,370","2,111","1,869"
E07000200,,,Babergh,,19,20,39,0,,20,126,146,33,0,,256,256,185
E07000201,,,Forest Heath,,18,113,131,0,,0,41,41,19,7,,187,194,172
E07000202,,,Ipswich,,67,103,170,115,,9,339,348,20,334,,112,561,518
E07000203,,,Mid Suffolk,,2,86,88,0,,7,42,49,22,0,,129,129,137
E07000204,,,St Edmundsbury,,32,31,63,0,,56,278,334,70,0,,445,445,397
E07000205,,,Suffolk Coastal,,1,35,36,0,,9,138,147,42,171,,53,224,183
E07000206,,,Waveney,,8,112,120,0,,16,141,157,27,114,,188,302,277
E06000032,,Luton,,,170,0,170,126,,0,926,926,34,866,,354,"1,346","1,096"
E06000055,,Bedford,,,70,0,70,52,,38,583,621,47,673,,82,807,691
E06000056,,Central Bedfordshire,,,232,2,234,0,,6,460,466,87,0,,909,909,700
E10000015,,Hertfordshire,,,345,"1,454","1,799",959,,74,"1,952","2,026",322,"1,872",,"1,392","4,223","3,825"
E07000095,,,Broxbourne,,5,228,233,207,,15,25,40,33,42,,73,322,273
E07000096,,,Dacorum,,39,186,225,193,,0,172,172,44,141,,88,422,397
E07000097,,,East Hertfordshire,,2,242,244,0,,2,29,31,24,45,,211,256,275
E07000098,,,Hertsmere,,6,0,6,10,,0,518,518,49,513,,0,523,524
E07000099,,,North Hertfordshire,,12,166,178,138,,9,74,83,35,96,,81,315,261
E07000100,,,St Albans,,175,127,302,365,,1,184,185,23,241,,0,606,487
E07000101,,,Stevenage,,30,70,100,0,,11,178,189,17,0,,307,307,289
E07000102,,,Three Rivers,,19,0,19,46,,30,451,481,57,506,,0,552,500
E07000103,,,Watford,,56,247,303,0,,5,170,175,18,118,,420,538,478
E07000104,,,Welwyn Hatfield,,1,188,189,0,,1,151,152,22,170,,212,382,341
E06000033,,Southend-on-Sea,,,91,185,276,0,,3,154,157,33,0,,610,610,433
E06000034,,Thurrock,,,27,62,89,52,,7,186,193,37,222,,85,359,282
E10000012,,Essex,,,385,"2,106","2,491",751,,278,"2,982","3,260",468,895,,"5,215","6,861","5,751"
E07000066,,,Basildon,,100,92,192,0,,0,323,323,38,0,,693,693,515
E07000067,,,Braintree,,12,72,84,27,,5,178,183,47,120,,242,389,267
E07000068,,,Brentwood,,7,257,264,0,,0,54,54,18,0,,351,351,318
E07000069,,,Castle Point,,3,128,131,0,,5,75,80,41,90,,164,254,211
E07000070,,,Chelmsford,,121,74,195,0,,0,129,129,35,0,,477,477,324
E07000071,,,Colchester,,19,112,131,0,,0,550,550,55,0,,750,750,681
E07000072,,,Epping Forest,,14,768,782,653,,0,129,129,36,129,,0,782,911
E07000073,,,Harlow,,61,0,61,71,,0,227,227,16,238,,0,309,288
E07000074,,,Maldon,,1,80,81,0,,0,9,9,11,0,,132,132,90
E07000075,,,Rochford,,32,192,224,0,,16,70,86,43,104,,272,376,310
E07000076,,,Tendring,,13,242,255,0,,3,27,30,26,16,,310,326,285
E07000077,,,Uttlesford,,2,89,91,0,,249,"1,211","1,460",102,198,,"1,824","2,022","1,551"
,,,,,,,,,,,,,,,,,,
E12000007,London,,,,"21,300",0,"21,300","24,487",,408,"87,001","87,409","2,430","117,712",,0,"142,199","108,709"
,,,,,,,,,,,,,,,,,,
E12000008,South East,,,,"2,827","7,722","10,549","4,818",,990,"18,662","19,652","3,169","17,080",,"14,800","36,698","30,201"
E10000025,,Oxfordshire,,,232,"1,168","1,400",0,,38,"1,193","1,231",203,688,,"2,606","3,294","2,631"
E07000177,,,Cherwell,,90,64,154,0,,0,246,246,37,0,,441,441,400
E07000178,,,Oxford,,107,0,107,0,,4,581,585,32,599,,324,923,692
E07000179,,,South Oxfordshire,,9,646,655,0,,19,153,172,57,0,,"1,154","1,154",827
E07000180,,,Vale of White Horse,,24,282,306,0,,13,83,96,36,0,,469,469,402
E07000181,,,West Oxfordshire,,2,176,178,0,,2,130,132,41,89,,218,307,310
E06000042,,Milton Keynes,,,137,55,192,0,,19,676,695,58,0,,"1,017","1,017",887
E10000002,,Buckinghamshire,,,102,277,379,256,,74,"1,887","1,961",200,"2,508",,777,"3,541","2,340"
E07000004,,,Aylesbury Vale,,58,0,58,0,,32,"1,232","1,264",87,"1,810",,394,"2,204","1,322"
E07000005,,,Chiltern,,1,143,144,190,,2,139,141,38,195,,0,385,285
E07000006,,,South Bucks,,2,86,88,60,,3,81,84,25,91,,42,193,172
E07000007,,,Wycombe,,41,48,89,6,,37,435,472,50,412,,341,759,561
E06000037,,West Berkshire,,,91,82,173,4,,0,159,159,120,117,,244,365,332
E06000036,,Bracknell Forest,,,85,0,85,0,,0,209,209,43,150,,165,315,294
E06000038,,Reading,,,214,0,214,407,,0,651,651,42,642,,0,"1,049",865
E06000039,,Slough,,,68,39,107,75,,6,596,602,54,731,,96,902,709
E06000040,,Windsor and Maidenhead,,,108,70,178,152,,0,978,978,95,974,,147,"1,273","1,156"
E06000041,,Wokingham,,,98,2,100,0,,1,138,139,33,155,,203,358,239
E06000044,,Portsmouth,,,84,150,234,286,,27,"1,018","1,045",19,"1,076",,0,"1,362","1,279"
E06000045,,Southampton,,,70,213,283,442,,36,617,653,44,855,,0,"1,297",936
E10000014,,Hampshire,,,398,854,"1,252",560,,196,"2,545","2,741",546,"1,301",,"2,592","4,453","3,993"
